,mean,median,year,week
2006-07-22,0.2661762,0.27,2006,29
2006-07-30,0.35485196,0.37,2006,30
2006-08-07,0.5822663,0.64,2006,32
2006-08-15,0.6832528,0.76,2006,33
2006-08-23,0.65058917,0.72,2006,34
2006-08-31,0.5357428,0.59,2006,35
2006-09-08,0.34929207,0.37,2006,36
2006-09-16,0.5059871,0.55,2006,37
2006-09-24,0.43904704,0.47,2006,38
2006-10-02,0.4134033,0.43,2006,40
2006-10-10,0.27898604,0.28,2006,41
2006-10-18,0.28367865,0.28,2006,42
2006-10-26,0.27961227,0.28,2006,43
2006-11-03,0.47830477,0.5,2006,44
2006-11-11,0.250627,0.24,2006,45
2006-11-19,0.24192053,0.22,2006,46
2006-11-27,0.30895403,0.32,2006,48
2006-12-05,0.24585941,0.25,2006,49
2006-12-13,0.32597405,0.34,2006,50
2006-12-21,0.36179435,0.39,2006,51
2006-12-29,0.027433654,0.0,2006,52
2007-01-06,0.27241465,0.29,2007,1
2007-01-14,0.3051747,0.34,2007,2
2007-01-22,0.33606476,0.36,2007,4
2007-01-30,0.498856,0.57,2007,5
2007-02-07,0.39876455,0.45,2007,6
2007-02-15,0.40774333,0.46,2007,7
2007-02-23,0.41001323,0.44,2007,8
2007-03-03,0.36958945,0.39,2007,9
2007-03-11,0.36731383,0.4,2007,10
2007-03-19,0.39895272,0.44,2007,12
2007-03-27,0.6742951,0.75,2007,13
2007-04-04,0.52753717,0.57,2007,14
2007-04-12,0.3248623,0.33,2007,15
2007-04-20,0.27641663,0.28,2007,16
2007-04-28,0.23733759,0.23,2007,17
2007-05-06,0.4525999,0.48,2007,18
2007-05-14,0.34284747,0.36,2007,20
2007-05-22,0.2976743,0.32,2007,21
2007-05-30,0.34598023,0.36,2007,22
2007-06-07,0.5879126,0.64,2007,23
2007-06-15,0.6214508,0.69,2007,24
2007-06-23,0.44268566,0.49,2007,25
2007-07-01,0.5203313,0.57,2007,26
2007-07-09,0.4506318,0.49,2007,28
2007-07-17,0.22279605,0.22,2007,29
2007-07-25,0.2161942,0.21,2007,30
2007-08-02,0.23815654,0.22,2007,31
2007-08-10,0.2790957,0.28,2007,32
2007-08-18,0.24229349,0.23,2007,33
2007-08-26,0.34451643,0.33,2007,34
2007-09-03,0.5698617,0.6,2007,36
2007-09-11,0.35172072,0.35,2007,37
2007-09-19,0.34837303,0.34,2007,38
2007-09-27,0.28692362,0.28,2007,39
2007-10-05,0.3645187,0.36,2007,40
2007-10-13,0.2960249,0.27,2007,41
2007-10-21,0.3537076,0.35,2007,42
2007-10-29,0.4171723,0.45,2007,44
2007-11-06,0.38146612,0.4,2007,45
2007-11-14,0.43981326,0.49,2007,46
2007-11-22,0.37755463,0.4,2007,47
2007-11-30,0.29995817,0.31,2007,48
2007-12-08,0.23868404,0.24,2007,49
2007-12-16,0.2751929,0.28,2007,50
2007-12-24,0.31078863,0.34,2007,52
2008-01-01,0.21732973,0.23,2008,1
2008-01-09,0.121871255,0.0,2008,2
2008-01-17,0.29439944,0.32,2008,3
2008-01-25,0.21843785,0.22,2008,4
2008-02-02,0.21528685,0.21,2008,5
2008-02-10,0.3105992,0.32,2008,6
2008-02-18,0.3573984,0.37,2008,8
2008-02-26,0.2050374,0.2,2008,9
2008-03-05,0.36862668,0.4,2008,10
2008-03-13,0.42148563,0.45,2008,11
2008-03-21,0.53107953,0.58,2008,12
2008-03-29,0.39221755,0.41,2008,13
2008-04-06,0.4206893,0.44,2008,14
2008-04-14,0.55205035,0.6,2008,16
2008-04-22,0.48775518,0.52,2008,17
2008-04-30,0.41386962,0.44,2008,18
2008-05-08,0.3060692,0.3,2008,19
2008-05-16,0.6251398,0.69,2008,20
2008-05-24,0.57278246,0.64,2008,21
2008-06-01,0.6486288,0.73,2008,22
2008-06-09,0.62862366,0.7,2008,24
2008-06-17,0.47137576,0.51,2008,25
2008-06-25,0.4982294,0.54,2008,26
2008-07-03,0.4600432,0.5,2008,27
2008-07-11,0.4830781,0.53,2008,28
2008-07-19,0.48773298,0.53,2008,29
2008-07-27,0.43343014,0.47,2008,30
2008-08-04,0.45345855,0.49,2008,32
2008-08-12,0.4570613,0.49,2008,33
2008-08-20,0.36581796,0.38,2008,34
2008-08-28,0.3016212,0.31,2008,35
2008-09-05,0.17366832,0.15,2008,36
2008-09-13,0.5098508,0.55,2008,37
2008-09-21,0.4727155,0.5,2008,38
2008-09-29,0.41622987,0.42,2008,40
2008-10-07,0.13122986,0.09,2008,41
2008-10-15,0.1382436,0.1,2008,42
2008-10-23,0.20258972,0.19,2008,43
2008-10-31,0.24002454,0.2,2008,44
2008-11-08,0.3163994,0.32,2008,45
2008-11-16,0.40081644,0.44,2008,46
2008-11-24,0.46653533,0.52,2008,48
2008-12-02,0.38562182,0.43,2008,49
2008-12-10,0.1693795,0.15,2008,50
2008-12-18,0.26679304,0.28,2008,51
2008-12-26,0.3586361,0.42,2008,52
2009-01-03,0.045198455,0.0,2009,1
2009-01-11,0.38745376,0.5,2009,2
2009-01-19,0.30824167,0.38,2009,4
2009-01-27,0.20825127,0.21,2009,5
2009-02-04,0.19548914,0.2,2009,6
2009-02-12,0.43829003,0.49,2009,7
2009-02-20,0.37265763,0.4,2009,8
2009-02-28,0.28239164,0.3,2009,9
2009-03-08,0.32199493,0.34,2009,10
2009-03-16,0.29826295,0.3,2009,12
2009-03-24,0.33622792,0.35,2009,13
2009-04-01,0.49805743,0.54,2009,14
2009-04-09,0.3795465,0.4,2009,15
2009-04-17,0.38349706,0.4,2009,16
2009-04-25,0.6118233,0.68,2009,17
2009-05-03,0.44987193,0.47,2009,18
2009-05-11,0.31429592,0.32,2009,20
2009-05-19,0.21582778,0.2,2009,21
2009-05-27,0.24360025,0.24,2009,22
2009-06-04,0.3565399,0.37,2009,23
2009-06-12,0.26403493,0.26,2009,24
2009-06-20,0.3928189,0.41,2009,25
2009-06-28,0.509293,0.56,2009,26
2009-07-06,0.6277794,0.7,2009,28
2009-07-14,0.48472273,0.53,2009,29
2009-07-22,0.3944535,0.43,2009,30
2009-07-30,0.37507865,0.41,2009,31
2009-08-07,0.38649353,0.42,2009,32
2009-08-15,0.266185,0.28,2009,33
2009-08-23,0.30896628,0.32,2009,34
2009-08-31,0.34222543,0.35,2009,36
2009-09-08,0.2731297,0.27,2009,37
2009-09-16,0.42204228,0.45,2009,38
2009-09-24,0.25867653,0.25,2009,39
2009-10-02,0.31761694,0.32,2009,40
2009-10-10,0.40734816,0.43,2009,41
2009-10-18,0.46731824,0.51,2009,42
2009-10-26,0.3539145,0.36,2009,44
2009-11-03,0.46458372,0.5,2009,45
2009-11-11,0.3885849,0.42,2009,46
2009-11-19,0.32060054,0.35,2009,47
2009-11-27,0.38857323,0.44,2009,48
2009-12-05,0.40275982,0.47,2009,49
2009-12-13,0.35378167,0.44,2009,50
2009-12-21,0.043947306,0.0,2009,52
2009-12-29,0.006670118,0.0,2009,53
2010-01-06,0.08304559,0.0,2010,1
2010-01-14,0.3958888,0.49,2010,2
2010-01-22,0.4680333,0.52,2010,3
2010-01-30,0.5650449,0.65,2010,4
2010-02-07,0.61691284,0.72,2010,5
2010-02-15,0.45945475,0.51,2010,7
2010-02-23,0.49255452,0.52,2010,8
