,mean,median,year,week
2004-12-15,0.23286581,0.22,2004,51
2004-12-23,0.4289145,0.43,2004,52
2004-12-31,0.36771703,0.41,2004,53
2005-01-08,0.38466418,0.4,2005,1
2005-01-16,0.36190176,0.36,2005,2
2005-01-24,0.37478903,0.38,2005,4
2005-02-01,0.43328032,0.43,2005,5
2005-02-09,0.19297162,0.17,2005,6
2005-02-17,0.2510254,0.24,2005,7
2005-02-25,0.33044204,0.32,2005,8
2005-03-05,0.4666639,0.47,2005,9
2005-03-13,0.32141513,0.3,2005,10
2005-03-21,0.055478033,0.02,2005,12
2005-03-29,0.29041263,0.29,2005,13
2005-04-06,0.48402327,0.49,2005,14
2005-04-14,0.50988847,0.51,2005,15
2005-04-22,0.60024506,0.6,2005,16
2005-04-30,0.47529992,0.48,2005,17
2005-05-08,0.29227835,0.29,2005,18
2005-05-16,0.34880236,0.35,2005,20
2005-05-24,0.5371457,0.54,2005,21
2005-06-01,0.25879866,0.25,2005,22
2005-06-09,0.48879018,0.51,2005,23
2005-06-17,0.6433434,0.66,2005,24
2005-06-25,0.43526128,0.45,2005,25
2005-07-03,0.4609453,0.5,2005,26
2005-07-11,0.6457464,0.67,2005,28
2005-07-19,0.54309773,0.56,2005,29
2005-07-27,0.4463074,0.46,2005,30
2005-08-04,0.4862776,0.51,2005,31
2005-08-12,0.5766827,0.6,2005,32
2005-08-20,0.3486048,0.36,2005,33
2005-08-28,0.58388776,0.6,2005,34
2005-09-05,0.4654414,0.47,2005,36
2005-09-13,0.6974163,0.71,2005,37
2005-09-21,0.5736601,0.59,2005,38
2005-09-29,0.5932202,0.61,2005,39
2005-10-07,0.6367415,0.65,2005,40
2005-10-15,0.5383691,0.56,2005,41
2005-10-23,0.5359532,0.54,2005,42
2005-10-31,0.38508034,0.38,2005,44
2005-11-08,0.41730994,0.42,2005,45
2005-11-16,0.57257897,0.57,2005,46
2005-11-24,0.59006774,0.59,2005,47
2005-12-02,0.68372583,0.7,2005,48
2005-12-10,0.6362819,0.67,2005,49
2005-12-18,0.39644387,0.4,2005,50
2005-12-26,0.49500012,0.52,2005,52
2006-01-03,0.46632388,0.5,2006,1
2006-01-11,0.4406934,0.45,2006,2
2006-01-19,0.3855901,0.39,2006,3
2006-01-27,0.47299105,0.5,2006,4
2006-02-04,0.306012,0.3,2006,5
2006-02-12,0.3933047,0.39,2006,6
2006-02-20,0.4594516,0.46,2006,8
2006-02-28,0.4294878,0.43,2006,9
2006-03-08,0.46238625,0.46,2006,10
2006-03-16,0.53791326,0.54,2006,11
2006-03-24,0.50571555,0.51,2006,12
2006-04-01,0.35666624,0.35,2006,13
2006-04-09,0.47495937,0.47,2006,14
2006-04-17,0.42502302,0.42,2006,16
2006-04-25,0.3788153,0.37,2006,17
2006-05-03,0.32198113,0.32,2006,18
2006-05-11,0.47026652,0.48,2006,19
2006-05-19,0.5346215,0.55,2006,20
2006-05-27,0.46421194,0.46,2006,21
2006-06-04,0.4563298,0.45,2006,22
2006-06-12,0.3569984,0.36,2006,24
2006-06-20,0.3489596,0.33,2006,25
2006-06-28,0.34284347,0.34,2006,26
2006-07-06,0.38116914,0.39,2006,27
2006-07-14,0.33858633,0.35,2006,28
2006-07-22,0.2035409,0.2,2006,29
2006-07-30,0.31913438,0.32,2006,30
2006-08-07,0.46131563,0.47,2006,32
2006-08-15,0.5936948,0.61,2006,33
2006-08-23,0.5714714,0.59,2006,34
2006-08-31,0.42562342,0.44,2006,35
2006-09-08,0.38352504,0.39,2006,36
2006-09-16,0.5174296,0.52,2006,37
2006-09-24,0.5338613,0.54,2006,38
2006-10-02,0.6875501,0.71,2006,40
2006-10-10,0.5006871,0.52,2006,41
2006-10-18,0.4894307,0.49,2006,42
2006-10-26,0.45292667,0.45,2006,43
2006-11-03,0.63366824,0.64,2006,44
2006-11-11,0.39487395,0.39,2006,45
2006-11-19,0.29506853,0.29,2006,46
2006-11-27,0.21418627,0.2,2006,48
2006-12-05,0.31969148,0.33,2006,49
2006-12-13,0.37818626,0.38,2006,50
2006-12-21,0.47375196,0.48,2006,51
2006-12-29,0.4484702,0.51,2006,52
2007-01-06,0.44426337,0.46,2007,1
2007-01-14,0.31149098,0.32,2007,2
2007-01-22,0.34253788,0.35,2007,4
2007-01-30,0.59961694,0.64,2007,5
