,mean,median,year,week
2005-04-30,0.42300007,0.44,2005,17
2005-05-08,0.24341848,0.23,2005,18
2005-05-16,0.38636446,0.39,2005,20
2005-05-24,0.5499516,0.59,2005,21
2005-06-01,0.2881199,0.3,2005,22
2005-06-09,0.47371423,0.51,2005,23
2005-06-17,0.5771647,0.63,2005,24
2005-06-25,0.4398905,0.48,2005,25
2005-07-03,0.40558043,0.45,2005,26
2005-07-11,0.65917194,0.72,2005,28
2005-07-19,0.5140898,0.55,2005,29
2005-07-27,0.46500218,0.5,2005,30
2005-08-04,0.5579287,0.61,2005,31
2005-08-12,0.573185,0.62,2005,32
2005-08-20,0.47398543,0.5,2005,33
2005-08-28,0.58542067,0.64,2005,34
2005-09-05,0.5166451,0.56,2005,36
2005-09-13,0.66777325,0.73,2005,37
2005-09-21,0.5578947,0.61,2005,38
2005-09-29,0.43704146,0.46,2005,39
2005-10-07,0.5432845,0.57,2005,40
2005-10-15,0.49122193,0.52,2005,41
2005-10-23,0.4034298,0.42,2005,42
2005-10-31,0.34822565,0.36,2005,44
2005-11-08,0.39692447,0.41,2005,45
2005-11-16,0.47810104,0.51,2005,46
2005-11-24,0.49581012,0.52,2005,47
2005-12-02,0.5806683,0.64,2005,48
2005-12-10,0.48869184,0.53,2005,49
2005-12-18,0.33195493,0.36,2005,50
2005-12-26,0.22713521,0.0,2005,52
2006-01-03,0.22803687,0.0,2006,1
2006-01-11,0.3107198,0.35,2006,2
2006-01-19,0.392973,0.44,2006,3
2006-01-27,0.46434152,0.53,2006,4
2006-02-04,0.2945951,0.32,2006,5
2006-02-12,0.29583904,0.32,2006,6
2006-02-20,0.4243069,0.48,2006,8
2006-02-28,0.39487198,0.44,2006,9
2006-03-08,0.40306863,0.43,2006,10
2006-03-16,0.44545898,0.48,2006,11
2006-03-24,0.47202796,0.51,2006,12
2006-04-01,0.32528472,0.32,2006,13
2006-04-09,0.45955706,0.47,2006,14
2006-04-17,0.4080715,0.43,2006,16
2006-04-25,0.37883344,0.38,2006,17
2006-05-03,0.3588781,0.36,2006,18
2006-05-11,0.50837475,0.54,2006,19
2006-05-19,0.43387783,0.45,2006,20
2006-05-27,0.4960121,0.52,2006,21
2006-06-04,0.4636198,0.49,2006,22
2006-06-12,0.36466932,0.38,2006,24
2006-06-20,0.3054055,0.29,2006,25
2006-06-28,0.30137357,0.31,2006,26
2006-07-06,0.32897314,0.33,2006,27
2006-07-14,0.30591267,0.32,2006,28
2006-07-22,0.18359907,0.18,2006,29
2006-07-30,0.2634625,0.25,2006,30
2006-08-07,0.44446355,0.47,2006,32
2006-08-15,0.65258664,0.71,2006,33
2006-08-23,0.6369081,0.7,2006,34
2006-08-31,0.5238728,0.57,2006,35
2006-09-08,0.4163959,0.44,2006,36
2006-09-16,0.5296112,0.57,2006,37
2006-09-24,0.44229722,0.46,2006,38
2006-10-02,0.6251218,0.67,2006,40
2006-10-10,0.47005597,0.5,2006,41
2006-10-18,0.39810926,0.41,2006,42
2006-10-26,0.40952998,0.43,2006,43
2006-11-03,0.5580879,0.58,2006,44
2006-11-11,0.3431215,0.35,2006,45
2006-11-19,0.29114577,0.3,2006,46
2006-11-27,0.19945574,0.19,2006,48
2006-12-05,0.31069905,0.32,2006,49
2006-12-13,0.38146168,0.4,2006,50
2006-12-21,0.42378342,0.45,2006,51
2006-12-29,0.17161265,0.0,2006,52
2007-01-06,0.37601712,0.42,2007,1
2007-01-14,0.28083497,0.3,2007,2
2007-01-22,0.3136047,0.34,2007,4
2007-01-30,0.5601605,0.63,2007,5
2007-02-07,0.35496697,0.39,2007,6
2007-02-15,0.40433022,0.45,2007,7
2007-02-23,0.47972065,0.5,2007,8
2007-03-03,0.39722204,0.43,2007,9
2007-03-11,0.42396402,0.47,2007,10
2007-03-19,0.38790533,0.42,2007,12
2007-03-27,0.63271505,0.68,2007,13
2007-04-04,0.581249,0.62,2007,14
2007-04-12,0.3803121,0.39,2007,15
2007-04-20,0.3146058,0.33,2007,16
2007-04-28,0.2797892,0.28,2007,17
2007-05-06,0.33840308,0.35,2007,18
2007-05-14,0.36687976,0.38,2007,20
2007-05-22,0.37868872,0.4,2007,21
2007-05-30,0.5178235,0.56,2007,22
2007-06-07,0.61662114,0.67,2007,23
2007-06-15,0.68530357,0.75,2007,24
2007-06-23,0.5927534,0.65,2007,25
2007-07-01,0.67463666,0.75,2007,26
2007-07-09,0.53353053,0.57,2007,28
2007-07-17,0.28336626,0.29,2007,29
2007-07-25,0.32205373,0.34,2007,30
2007-08-02,0.29377586,0.28,2007,31
2007-08-10,0.42748818,0.45,2007,32
2007-08-18,0.4644227,0.5,2007,33
2007-08-26,0.51312965,0.55,2007,34
2007-09-03,0.70729697,0.77,2007,36
2007-09-11,0.44953755,0.47,2007,37
2007-09-19,0.51697665,0.55,2007,38
2007-09-27,0.41735607,0.43,2007,39
2007-10-05,0.37942743,0.37,2007,40
2007-10-13,0.35394514,0.36,2007,41
2007-10-21,0.5610784,0.58,2007,42
2007-10-29,0.4748959,0.5,2007,44
2007-11-06,0.38948342,0.4,2007,45
2007-11-14,0.39072612,0.4,2007,46
2007-11-22,0.53402126,0.56,2007,47
2007-11-30,0.2738797,0.28,2007,48
2007-12-08,0.29169005,0.3,2007,49
2007-12-16,0.3505537,0.36,2007,50
2007-12-24,0.40086517,0.43,2007,52
2008-01-01,0.30953,0.35,2008,1
2008-01-09,0.08035928,0.0,2008,2
2008-01-17,0.3117857,0.34,2008,3
2008-01-25,0.17547095,0.17,2008,4
2008-02-02,0.23375133,0.23,2008,5
2008-02-10,0.34581453,0.36,2008,6
2008-02-18,0.4217794,0.45,2008,8
2008-02-26,0.20178884,0.2,2008,9
2008-03-05,0.4303404,0.46,2008,10
2008-03-13,0.3597565,0.38,2008,11
2008-03-21,0.4800346,0.5,2008,12
2008-03-29,0.30445224,0.3,2008,13
2008-04-06,0.3923268,0.39,2008,14
2008-04-14,0.64128983,0.68,2008,16
2008-04-22,0.57005787,0.61,2008,17
2008-04-30,0.3934493,0.4,2008,18
2008-05-08,0.29490906,0.29,2008,19
2008-05-16,0.6043459,0.65,2008,20
2008-05-24,0.68406147,0.74,2008,21
2008-06-01,0.6299956,0.68,2008,22
2008-06-09,0.6698647,0.73,2008,24
2008-06-17,0.46348706,0.5,2008,25
2008-06-25,0.56337315,0.61,2008,26
2008-07-03,0.5211521,0.57,2008,27
2008-07-11,0.71131504,0.78,2008,28
2008-07-19,0.57392,0.62,2008,29
2008-07-27,0.5716165,0.62,2008,30
2008-08-04,0.5888177,0.64,2008,32
2008-08-12,0.6481759,0.71,2008,33
2008-08-20,0.4573208,0.49,2008,34
2008-08-28,0.45909518,0.48,2008,35
2008-09-05,0.524064,0.57,2008,36
2008-09-13,0.682603,0.74,2008,37
2008-09-21,0.5532794,0.58,2008,38
2008-09-29,0.5898012,0.62,2008,40
2008-10-07,0.23721197,0.23,2008,41
2008-10-15,0.19941357,0.19,2008,42
2008-10-23,0.34557164,0.35,2008,43
2008-10-31,0.39219028,0.4,2008,44
2008-11-08,0.39304096,0.41,2008,45
2008-11-16,0.34467188,0.36,2008,46
2008-11-24,0.49271378,0.54,2008,48
2008-12-02,0.4566671,0.5,2008,49
2008-12-10,0.28761968,0.31,2008,50
2008-12-18,0.1996961,0.2,2008,51
2008-12-26,0.31512427,0.36,2008,52
