cyclostationary_mean_HS_1w_1,cyclostationary_mean_HS_4w_2
-0.010506834927774591,-0.04107923406606531
0.08508792625755529,-0.0001745569936136765
0.13766365213951978,0.03694253580993043
0.26522495667764107,0.13255818439446418
0.3491146967536585,0.20521999387145895
0.17342522991052772,0.21118081008425052
-0.07762924064705672,0.1356657760242842
-0.2661092656189433,0.03858617844943988
-0.24417043649768586,-0.08207767920704537
0.4361432529702195,0.07578694388287573
1.3059264561366188,0.40201529327751806
1.8161919479984903,0.8853097128963346
1.8047518371747582,1.28721460577163
1.411524757389379,1.5930444061364724
1.2192972534231794,1.6219774644890692
1.4467047704005909,1.6532207582985892
1.8734587797425,1.646456440901406
1.9678091423579038,1.722920369851748
2.6909628073006737,2.1933582493483392
3.041164936356451,2.5016862746302624
2.650699220459285,2.7080113364148226
2.4882988587222887,2.764502556452594
2.009781882866473,2.7259527816385294
1.410337169591519,2.217093108019198
0.8067980325338581,1.7708621459338398
0.4620068859551591,1.2815262816634916
0.23658937514071707,0.8083583429921909
0.015099316472645011,0.4288898426315373
-0.043709125611828485,0.1868194193472314
-0.04404374643092605,0.0651935248220854
-0.04406472852159315,-0.0295032710559368
-0.04370818763619845,-0.05462098592862323
-0.04373756051939195,-0.0546533706895577
