SUBID,LONGITUDE,LATITUDE
8206438,54.1539,61.8752
8206454,54.169,60.9547
8206563,54.0457,62.0089
8206572,53.8443,61.736
8206580,56.1861,61.7055
8206599,54.4202,61.8328
8206637,44.8491,59.8304
8206667,53.7059,62.3751
8206677,55.6482,61.6724
8206688,44.0361,60.0371
8206715,53.8334,62.1912
8206737,52.8033,61.3301
8206782,55.3602,61.6527
8206797,55.1676,61.3783
8206823,54.5222,62.2435
8206844,56.5372,61.23
8206875,54.3859,61.0714
8206897,56.4765,61.7895
8206901,46.0027,59.3649
8206965,53.584,61.4856
8206982,54.6897,61.0438
8207033,54.7419,62.2992
8207070,55.5739,61.31
8207091,55.813,61.7923
8207148,54.4373,62.6124
8207156,56.1461,61.4213
8207162,56.8398,60.8586
8207182,55.1109,62.2338
8207189,57.8366,61.3009
8207190,53.1656,63.03
8207191,45.8071,59.5737
8207214,56.0692,61.276
8207242,57.5144,61.2452
8207286,51.1422,63.8019
8207293,56.9061,61.13
8207300,52.2038,63.5762
8207311,43.124,60.2901
8207330,54.9702,61.3367
8207355,53.9676,61.8284
8207356,55.1844,61.6346
8207375,51.4169,63.7537
8207377,53.6869,61.8673
8207383,53.1077,61.4773
8207389,52.0256,64.15
8207391,57.1354,61.3607
8207392,52.4711,63.4363
8207406,52.815,63.5762
8207442,55.398,61.9872
8207451,51.2497,63.6487
8207452,53.0028,61.1801
8207458,51.972,64.4131
8207471,54.8922,61.4505
8207475,55.4473,62.1776
8207488,51.1071,63.5175
8207515,52.0366,63.7781
8207529,51.8216,64.5122
8207616,53.2734,63.3299
8207634,51.8292,64.3213
8207675,51.2007,64.5203
8207726,43.276,61.4878
8207727,44.1734,60.3282
8207729,52.4315,63.8156
8207743,44.0967,60.9334
8207755,51.1834,64.0668
8207765,51.3701,64.3467
8207770,46.3619,60.1684
8207773,51.9833,63.4969
8207784,51.2913,64.2872
8207788,43.8814,61.3706
8207803,44.7553,60.8757
8207818,45.053,60.4904
8207820,44.4678,60.9771
8207831,45.744,60.1363
8207861,50.7676,63.8416
8207867,44.4763,60.382
8207873,45.1868,61.0108
8207874,45.8648,60.1044
8207878,45.2812,59.8855
8207886,51.5709,63.3293
8207926,46.2756,60.9317
8207929,50.9801,64.3328
8207944,43.538,60.2691
8207966,44.3,60.1086
8207999,50.9208,64.1523
8208020,46.2023,59.8774
8208053,46.583,60.2234
8208061,49.7098,62.76
8208069,46.2743,60.3319
8208077,43.67,59.7669
8208081,44.2478,59.8736
8208091,43.726,60.4407
8208129,52.1606,61.7696
8208130,43.0825,61.382
8208140,52.0982,63.195
8208148,45.3015,60.0104
8208149,50.7417,63.2406
8208150,45.095,59.5388
8208159,50.6161,63.0143
8208173,51.4619,62.586
8208184,52.4833,62.5226
8208233,49.6749,62.5077
8208241,46.0798,59.5788
8208244,44.902,60.6408
8208257,53.5465,62.0175
8208261,43.4061,59.7051
8208277,44.1994,61.1854
8208282,51.633,62.0525
8208286,44.2371,61.684
8208288,49.5974,62.3037
8208304,51.1153,63.2946
8208307,42.9947,60.1258
8208312,52.2544,62.202
8208314,52.3637,61.6807
8208315,44.6389,60.7363
8208316,52.2522,62.3044
8208323,50.3541,63.1101
8208326,52.0653,62.0933
8208328,51.8218,62.606
8208335,53.3852,62.3493
8208336,50.8694,62.3576
8208338,46.1611,61.0705
8208342,50.1326,63.1207
8208349,52.5423,62.5954
8208357,44.9402,60.1539
8208359,50.5143,62.3386
8208364,50.7968,62.1544
8208369,49.37,62.7994
8208381,50.538,63.0829
8208395,52.7421,62.4323
8208400,50.0352,62.6646
8208403,43.3295,61.205
8208406,46.5189,60.769
8208408,52.9607,61.7115
8208423,45.8183,59.7668
8208429,42.36,60.3527
8208430,50.9235,63.4518
8208449,44.5797,61.0268
8208457,52.8894,62.136
8208466,41.9717,60.1668
8208468,51.2834,62.9758
8208471,49.2077,62.6843
8208474,45.1377,61.1738
8208489,45.7564,59.4275
8208492,43.922,61.1909
8208518,45.3611,60.2604
8208526,43.9282,60.8487
8208528,43.825,60.291
8208529,44.3958,60.0154
8208534,53.0885,61.9843
8208550,49.9513,62.0001
8208565,51.957,61.6277
8208570,53.106,62.7001
8208581,51.4723,62.1127
8208587,50.9131,62.0434
8208592,53.5956,62.5261
8208602,52.3962,62.69
8208606,44.5715,61.5478
8208610,43.0893,61.2308
8208625,49.8053,62.5161
8208629,53.0182,62.8959
8208647,51.3118,62.4157
8208658,53.3828,62.1739
8208659,45.8957,61.1843
8208668,51.1304,61.5561
8208676,49.8757,62.8302
8208688,52.6901,61.7395
8208703,50.5603,62.5076
8208704,52.8226,62.013
8208713,50.2868,62.3492
8208717,51.4204,62.2647
8208721,41.5589,60.2936
8208745,51.8281,62.7698
8208751,48.9004,62.3884
8208755,43.5635,61.2959
8208773,43.3562,60.9756
8208774,43.1509,60.9044
8208775,43.4435,61.5189
8208781,51.6951,62.7401
8208787,51.1333,62.1488
8208819,52.5666,61.7387
8208830,52.8133,62.8305
8208847,51.1748,62.65
8208861,41.7273,62.3044
8208880,40.9594,60.5042
8208884,42.4114,62.0767
8208885,43.3953,61.8167
8208888,41.8931,62.1071
8208902,44.046,60.2011
8208925,42.1002,60.3727
8208980,43.6825,62.4261
8209008,41.5637,62.9087
8209009,41.9975,62.5389
8209016,42.7161,60.3856
8209019,46.0322,60.5695
8209031,42.9205,60.3515
8209059,41.2982,62.3842
8209065,47.1558,61.0355
8209069,40.8257,62.6006
8209104,40.2282,63.3601
8209106,40.5545,63.0779
8209109,45.2214,61.3228
8209115,41.2262,60.4144
8209119,42.2163,62.8643
8209158,42.8349,60.6206
8209172,41.8983,63.0495
8209193,43.5383,62.7593
8209206,44.556,60.5969
8209215,42.8496,61.9151
8209229,42.5593,63.1728
8209240,43.6456,60.7625
8209248,42.6413,62.3717
8209251,46.5933,60.3544
8209258,43.8365,62.9565
8209262,42.204,62.6531
8209276,45.5339,61.0624
8209289,43.8536,62.6114
8209292,43.0546,62.247
8209298,40.6088,63.4475
8209306,45.0962,60.8281
8209336,43.2873,63.1117
8209342,42.6244,61.9831
8209351,45.8926,60.9754
8209353,45.8115,60.4925
8209367,43.211,60.3729
8209374,44.1632,62.7838
8209382,41.808,62.6104
8209391,41.6929,60.1327
8209424,41.3462,63.0341
8209442,44.8176,61.5181
8209457,41.229,62.9715
8209470,43.095,62.5268
8209476,40.8839,63.1861
8209489,45.6525,60.8588
8209496,40.7086,63.395
8209500,43.7529,60.946
8209501,44.0096,60.5928
8209517,44.5712,60.1981
8209532,41.0728,62.4937
8209537,40.8391,63.235
8209546,42.3907,62.7601
8209597,42.5739,62.0648
8209606,43.4315,60.7168
8209609,46.0491,59.8736
8209614,42.4627,60.5207
8209634,42.6736,62.6959
8209644,42.3167,63.1572
8209661,46.0458,60.9305
8209680,46.4434,59.9496
8209690,46.7437,60.9449
8209700,41.444,62.6542
8209728,42.3214,61.931
8209733,43.1522,62.159
8209754,42.0874,62.2674
8209794,42.7555,63.3189
8209830,41.0559,63.6437
8209854,42.0181,62.9142
8209876,41.5635,62.2703
8209899,40.0058,63.5065
8209906,42.9387,61.9171
8209924,40.9489,62.9011
8209942,39.9969,63.3313
8210639,52.1704,60.3829
8210824,52.0191,60.3854
8211021,53.8238,61.0761
8211074,53.3873,60.9477
8211113,53.7397,60.8205
8211314,52.2572,60.2627
8211448,51.8953,60.0718
8211472,49.4265,60.8952
8211491,50.0464,61.2109
8211492,51.0864,61.0848
8211496,49.1979,61.911
8211504,48.8708,61.3658
8211522,49.1977,61.1262
8211526,49.701,60.8425
8211538,48.7605,60.8978
8211542,52.2329,61.4428
8211555,48.075,61.1727
8211557,52.2521,60.936
8211566,52.2178,61.2304
8211571,50.5524,60.4387
8211575,49.5575,61.073
8211576,50.585,61.5692
8211582,49.1859,60.7636
8211586,50.9392,61.5174
8211591,48.5678,62.1562
8211599,51.7611,60.4756
8211608,50.8434,60.7724
8211637,47.911,61.0134
8211646,52.4514,60.9845
8211650,49.1368,61.7016
8211654,48.3406,61.4555
8211660,48.4066,61.9542
8211665,49.7609,61.9555
8211672,48.9819,60.9652
8211675,51.716,60.9725
8211678,48.8396,61.7548
8211704,50.9458,61.001
8211706,50.2255,61.6298
8211724,51.518,61.3728
8211750,49.7271,61.5815
8211776,49.7569,60.6269
8211835,49.4553,61.7358
8211842,49.8675,61.6575
8211871,49.4067,61.4847
8211879,48.2186,60.8964
8211887,51.4666,61.1304
8211890,51.4712,61.5111
8211892,50.4425,61.7143
8211897,50.3662,61.3193
8211898,49.4517,61.9652
8211901,50.0461,61.4482
8211904,50.644,61.1632
8211913,49.6133,61.2725
8211919,50.8657,60.3328
8211928,52.6468,61.0295
8211933,48.1605,62.11
8211939,52.4979,61.502
8211940,51.6915,60.7238
8211946,50.2734,61.8395
8211956,50.1714,60.5338
8211966,49.0102,61.2838
8211970,47.9028,61.7668
8211974,49.8188,61.0757
8211985,48.0314,61.8804
8211986,49.8117,61.8425
8211999,48.9497,61.6127
8212012,49.9937,60.8287
8212021,51.3204,61.24
8212037,52.6672,61.3934
8212042,48.6081,61.5361
8212044,47.9967,61.3201
8212046,50.5524,60.8462
8212048,49.5026,60.6585
8212054,49.1897,60.5557
8212073,52.0033,60.9746
8212086,50.6996,60.8672
8212092,48.503,61.1164
8212101,51.4414,60.8422
8212112,47.4432,61.0223
8212119,50.8979,61.3808
8212160,48.4428,60.933
8212174,51.2734,60.9656
8212182,50.6984,60.2106
8212194,51.4605,60.5846
8212198,49.0493,61.9185
8212223,41.9575,60.4865
8212229,41.7297,60.7183
8212248,42.7056,60.9844
8212436,41.9216,61.5146
8212460,42.2961,60.7545
8212463,42.134,60.7034
8212486,41.6034,62.0382
8212497,43.214,61.6829
8212534,41.405,61.0117
8212556,41.5281,60.8457
8212557,40.848,60.7772
8212593,41.6325,61.2936
8212597,40.7966,61.1853
8212736,41.1068,61.3527
8212752,41.8875,61.7637
8212759,40.6974,60.9889
8212790,41.6344,61.0463
8212824,42.4237,61.7592
8212895,40.998,60.7607
8212901,42.0677,61.2912
8212923,40.501,60.9592
8212930,42.2032,61.4291
8212938,42.8637,61.5631
8212959,42.4636,61.092
8212964,41.2842,60.8372
8213041,50.7214,64.2179
8213224,45.8079,63.2355
8213227,45.475,62.7356
8213231,46.8979,63.4546
8213244,46.503,63.0304
8213248,46.5762,63.2092
8213257,45.9005,62.8702
8213322,47.0449,62.7506
8213338,45.4826,63.214
8213357,46.3671,62.775
8213362,48.5248,62.7068
8213366,48.3109,62.2513
8213370,45.9878,63.8124
8213371,44.6776,63.4135
8213378,45.3227,62.8762
8213407,47.3599,62.9305
8213419,45.5359,63.8885
8213459,44.8293,62.9873
8213466,48.4235,62.4934
8213476,48.9539,62.7752
8213500,45.0713,63.628
8213523,45.7465,63.3741
8213531,44.9801,63.1149
8213537,46.1825,63.0823
8213583,47.2505,63.1069
8213594,46.3192,62.8332
8213610,45.2369,63.2789
8213636,46.1115,63.2852
8213640,46.3661,63.165
8213641,46.0719,63.6849
8213643,44.3396,63.1255
8213656,46.2915,63.6803
8213662,45.3167,63.9183
8213666,45.7742,63.0431
8213676,45.2927,63.6311
8216293,50.109,59.9454
8216311,46.8805,59.9519
8216334,48.3892,59.9701
8216415,47.1985,60.3319
8216451,48.4046,59.7433
8216491,47.3154,59.7124
8216493,50.0651,60.1237
8216501,46.7943,59.8664
8216565,48.9123,60.3984
8216570,49.8097,59.9201
8216626,47.1426,59.7062
8216664,47.156,60.4851
8216665,47.888,59.9512
8216688,47.2268,59.5009
8216699,47.6147,60.2959
8216714,48.5176,60.6782
8216716,48.9737,60.2549
8216763,48.2244,59.9176
8216785,47.4273,60.1403
8216824,49.4286,60.416
8216835,49.4158,59.8341
8216875,49.163,60.2395
8216878,49.4197,59.9981
8216900,47.9426,60.8282
8216912,48.0539,60.7139
8216920,49.2182,60.3717
8216948,47.0495,59.9309
8216950,50.4058,60.3087
8217037,47.6208,60.6048
8217063,48.8408,60.0262
8217139,48.2256,60.3496
8217169,48.4966,60.0291
8217184,48.7299,59.7489
8217209,47.8167,60.4256
8217237,48.6816,60.2546
8217242,49.1425,59.7827
8217256,46.6793,59.7669
8217259,47.2708,60.8156
8217290,47.789,60.6025
8200331,41.3673,64.0869
8200548,42.4502,63.3745
8200754,44.6812,63.3664
8213478,44.9295,63.3415
8200111,46.888,62.9407
8201833,41.9494,64.7445
8200187,42.3845,65.2267
8200281,42.2246,65.1699
8200311,41.7859,64.7261
8208141,45.3102,60.849
8206654,44.5576,59.8554
8217254,47.5145,59.8107
8208476,52.7386,62.7088
8200612,51.9641,62.7209
8205230,47.2273,61.6163
8200092,41.0037,64.0832
8212462,40.9352,61.0067
8200239,42.4604,64.6072
8208298,45.5732,60.4711
8208295,50.0448,63.0123
8217102,47.4869,59.4
8209750,40.8481,62.7848
8204446,43.7482,61.9065
8209088,41.0544,60.3068
8200601,44.3018,63.8005
8212595,42.9628,61.6154
8209168,43.5561,63.1631
8200185,51.3485,60.2411
8000563,41.6788,63.2389
8200342,52.5273,63.0659
8207691,52.877,63.1108
8211622,49.8467,60.4743
8209499,43.1356,63.2779
8200502,44.8158,63.5963
